Place	Website	Notes
Event/Activity Database	http://www.timeout.com/newyork	"This site gives you updated info on new events and things going on in the city this week, month, or at all. They have cool ideas."
Dave & Buster's NYC	http://www.daveandbusters.com/locations/StoreInformation.aspx?trackid=50_NY__NEW_YORK-TIMES_SQUARE&StoreId=50	"21+ after 9. go before 9 they dont kick u out after 9. Not as many games as you think though, and definitely not a first few dates place. Free parking around 40th St on weekends"
Modern Pinball NYC	modernpinballnyc.com	Similar to that place in Asbury by the boardwalk
Silverball Museum II	silverballmuseum.com	vintage arcade place. maximum time youl spend there is 45 min
YesterCades	yestercades.com/	"all the old arcade games, very fun, but go at an off time. off chance of seeing sys there (also on a date lol)"
Hidden Gems Archery	http://www.hiddengemsarchery.com	"Buy groupon http://www.groupon.com/deals/hidden-gems-solutions and then register on the hidden gem archery website for the date and time avilable, all memebers must register seperatly and sign the online waiver"
Camp	http://www.camp-brooklyn.com/index.html	"Looks like a nice cozy bar, has board games 1 night, 1 night karakoe, fireplace, dont see an age restriction."
Minus 5 Ice Bar	Minus5experience.com	"Inside Hilton, Bar is completely made out of ice, even the glasses, may need reservations and 21+"
Zombie Hut	http://www.yelp.com/biz/zombie-hut-brooklyn	"Pretty cool bar to go to, especially during the summer months as they have a whole outdoor lounge. Pick up a mixed drink (they're pretty light which is a plus for those who dont like hard liquor -- the Bahamamama is my fave!) and grab a complimentary board game! Drinks range from $5 to $10 depending. They have Monopoly, Apples to Apples, Connect Four, etc. Great to go with friends and / or other couples. Come on? Whats better than playing a board game while you're tipsy?"
Billiards	https://m.facebook.com/PyramidaBilliards?id=366824766721189&refsrc=http%3A%2F%2Fwww.google.com%2Furl&_rdr	"dark lit room to play billiards. russians, snooker and a few arcade games"
Boardwalk Billiards	http://m.yelp.com/biz/boardwalk-billiards-Brooklyn	open super late
Brownstone Billiards	oceans8ny.com	Billiards ping pong and air hockey
Manhattan by Sail	https://www.manhattanbysail.com/_	"Nice sailing/cruising (""sunset sails""), around statue of liberty, boat with 50 other randoms. Can get very cold (windy) bring jackets. Also can find deals on TravelZoo"
Red Bank Marina	redbankmarina.org_	watersports boat rentals.. more of a group thing
Brunswick Zone-Hazlet Bowling	http://www.bowlbrunswick.com/about-us/323/1	"Great bowling place off the garden state. Shouldnt see any sys. ~30 min away. Nice bowling, arcade games etc"
Melody Lanes	melodylanesny.com	not the cleanest place.. replacement for shell lanes and ur hajjed for the city
